	SubjectID1	SubjectID2	Group1	Group2	Distance
131	6519888d.bb69.495b.b4b8.07d0d4333455	fadb8582.a342.46ba.8926.98ff97240824	fmt-material	swab	0.6422959556240976
132	6519888d.bb69.495b.b4b8.07d0d4333455	2f79545d.8a5d.4fc5.a0ac.5da133096ee3	fmt-material	swab	0.497116853752413
133	6519888d.bb69.495b.b4b8.07d0d4333455	fa6fda2b.4a99.4231.9325.0d74d8ae451c	fmt-material	swab	0.5752212196016778
134	6519888d.bb69.495b.b4b8.07d0d4333455	632924ab.bf85.4b8b.b603.f338294a0d9d	fmt-material	swab	0.4435545558344695
135	6519888d.bb69.495b.b4b8.07d0d4333455	ad0865f4.0719.4c22.9a3e.1d5ec2f9ad4c	fmt-material	swab	0.5871410064619197
136	6519888d.bb69.495b.b4b8.07d0d4333455	2adb40fd.6824.44f2.b71f.dc73c9f82b16	fmt-material	swab	0.667128002461992
137	6519888d.bb69.495b.b4b8.07d0d4333455	0eb12bd1.4548.4004.8dcd.1a71de8b1df5	fmt-material	swab	0.6010559268491433
138	8d2746d9.68e2.42e3.acfc.092603ad6ec1	fa2e9bcc.cc53.4b83.ad1e.a308375854f5	fmt-material	swab	0.5938127168561128
139	8d2746d9.68e2.42e3.acfc.092603ad6ec1	b1e40907.45fc.4d81.ad81.c58ed3d91e1f	fmt-material	swab	0.7087923645180967
140	8d2746d9.68e2.42e3.acfc.092603ad6ec1	c784e063.e586.43cb.a602.9f2e2ae420d1	fmt-material	swab	0.6378766236121691
141	8d2746d9.68e2.42e3.acfc.092603ad6ec1	104e5902.1c3e.417f.bb22.124bfca61a61	fmt-material	swab	0.6631728580392492
142	8d2746d9.68e2.42e3.acfc.092603ad6ec1	7c66ff62.02e7.458d.a55d.8d07d15a9315	fmt-material	swab	0.6758692356933234
143	8d2746d9.68e2.42e3.acfc.092603ad6ec1	0bb5e24a.aa34.48e7.b1f9.e761ac2dc6b4	fmt-material	swab	0.6635763987880242
144	8d2746d9.68e2.42e3.acfc.092603ad6ec1	b447da2d.f44f.4ced.ab9e.b560736484fb	fmt-material	swab	0.664713238012271
145	8d2746d9.68e2.42e3.acfc.092603ad6ec1	60345a80.4df2.4a0b.b7af.e2370c607aec	fmt-material	swab	0.5389020472401292
146	8d2746d9.68e2.42e3.acfc.092603ad6ec1	44ef59fb.3279.46dc.a113.c762aa889eb5	fmt-material	swab	0.6314345302546512
147	8d2746d9.68e2.42e3.acfc.092603ad6ec1	21a4ec1a.bcae.4e10.be82.66328d2dad4f	fmt-material	swab	0.673399132695861
148	8d2746d9.68e2.42e3.acfc.092603ad6ec1	aef9e193.1f8c.429e.bfdf.38bb59235e7d	fmt-material	swab	0.6764435487727191
149	8d2746d9.68e2.42e3.acfc.092603ad6ec1	1fe57dd4.58b3.4fde.b8a1.f73db5614909	fmt-material	swab	0.563735124062633
150	8d2746d9.68e2.42e3.acfc.092603ad6ec1	e6dcb4be.68c0.473f.a9cb.412345eeb749	fmt-material	swab	0.6750518877245644
151	8d2746d9.68e2.42e3.acfc.092603ad6ec1	633bc9a7.b25f.475a.9bd3.858212b39d7d	fmt-material	swab	0.6163540176331469
152	8d2746d9.68e2.42e3.acfc.092603ad6ec1	d7c251b8.15e9.4266.bcd8.6e6c6a453c11	fmt-material	swab	0.6985210199118239
153	8d2746d9.68e2.42e3.acfc.092603ad6ec1	65ba3877.ad29.4afc.aaec.bcf3544f5f75	fmt-material	swab	0.5200748864903121
154	8d2746d9.68e2.42e3.acfc.092603ad6ec1	72a8ae87.94ea.41e3.b43c.b5337f6a0548	fmt-material	swab	0.5318993831772235
155	8d2746d9.68e2.42e3.acfc.092603ad6ec1	35a8aef7.4bb0.4cab.bc0e.3576bb706571	fmt-material	swab	0.5414524199290454
156	8d2746d9.68e2.42e3.acfc.092603ad6ec1	df4b001a.f4cd.4b71.8ebe.a68b8df2cb80	fmt-material	swab	0.5409434674405305
157	8d2746d9.68e2.42e3.acfc.092603ad6ec1	101c02ce.4f8d.4394.83a3.0c406831d934	fmt-material	swab	0.6044329223253609
158	8d2746d9.68e2.42e3.acfc.092603ad6ec1	8c4ae03d.dd8c.44ec.8336.15e0b031d97f	fmt-material	swab	0.663260275522145
159	8d2746d9.68e2.42e3.acfc.092603ad6ec1	14c94c5e.aaf2.414f.a72f.74ccc134b294	fmt-material	swab	0.5243461135886542
160	8d2746d9.68e2.42e3.acfc.092603ad6ec1	11c4be47.fdce.4135.8acf.0894f2da5ede	fmt-material	swab	0.5070821734986977
161	8d2746d9.68e2.42e3.acfc.092603ad6ec1	b49ad14d.07c8.454d.82ec.c6fb9c7bcc36	fmt-material	swab	0.6732290567143192
162	8d2746d9.68e2.42e3.acfc.092603ad6ec1	11c70d46.e0a4.4797.ad7b.3677fe93d73b	fmt-material	swab	0.7294259586667434
163	8d2746d9.68e2.42e3.acfc.092603ad6ec1	c8b831af.2e3c.4aaa.83cf.b66c3016e0f3	fmt-material	swab	0.4302592961675314
164	8d2746d9.68e2.42e3.acfc.092603ad6ec1	ec91140e.0862.4ece.bb4a.d114f4c42bdb	fmt-material	swab	0.40405596678742123
165	8d2746d9.68e2.42e3.acfc.092603ad6ec1	e94edb86.8fe0.42b8.a255.c48d4551405b	fmt-material	swab	0.5756125304622929
166	8d2746d9.68e2.42e3.acfc.092603ad6ec1	fae97eb5.3264.4211.8ea3.823f547a6f0c	fmt-material	swab	0.5157754232624517
167	8d2746d9.68e2.42e3.acfc.092603ad6ec1	e4485061.924a.4f09.9d7e.bfefc780d1a8	fmt-material	swab	0.7319040793654282
168	8d2746d9.68e2.42e3.acfc.092603ad6ec1	2a1b28ba.f47e.44b6.bfd7.d3e41e762db3	fmt-material	swab	0.7414814890020051
169	8d2746d9.68e2.42e3.acfc.092603ad6ec1	212f0ce6.9123.4e38.abf3.db944de7f1c1	fmt-material	swab	0.567505918065252
170	8d2746d9.68e2.42e3.acfc.092603ad6ec1	d6223d2e.0d62.4658.8eec.ccc9d4ee86a3	fmt-material	swab	0.5348141804133669
171	8d2746d9.68e2.42e3.acfc.092603ad6ec1	20aa4aaf.8242.48d9.a225.e9f6b3e8938c	fmt-material	swab	0.7091730305055626
172	8d2746d9.68e2.42e3.acfc.092603ad6ec1	17f96e8a.dc68.4aef.98db.8aaaab702e33	fmt-material	swab	0.30997186826898415
173	8d2746d9.68e2.42e3.acfc.092603ad6ec1	61c3930c.61c4.4c82.8475.7a10ccaeb71c	fmt-material	swab	0.5361943749836533
174	8d2746d9.68e2.42e3.acfc.092603ad6ec1	ac7d2af0.9c75.4a32.bb2b.e79380ab8c61	fmt-material	swab	0.6737693857586801
175	8d2746d9.68e2.42e3.acfc.092603ad6ec1	b612f67e.eea8.4e03.81b7.034dbfc44669	fmt-material	swab	0.5810010784190551
176	8d2746d9.68e2.42e3.acfc.092603ad6ec1	36b313f7.8a44.4bdc.8034.82260a83d7b9	fmt-material	swab	0.565930338851867
177	8d2746d9.68e2.42e3.acfc.092603ad6ec1	6ecca0ea.049c.41ec.b324.404e504d44c0	fmt-material	swab	0.6091425152418856
178	8d2746d9.68e2.42e3.acfc.092603ad6ec1	55b26af1.31a6.4606.8b99.bf415a009311	fmt-material	swab	0.41514127346749574
179	8d2746d9.68e2.42e3.acfc.092603ad6ec1	e5574c01.3027.458d.8f96.d68b66aae40b	fmt-material	swab	0.4880899055675812
180	8d2746d9.68e2.42e3.acfc.092603ad6ec1	dfc347e3.eed7.4592.95eb.374724230326	fmt-material	swab	0.5631622024151978
181	8d2746d9.68e2.42e3.acfc.092603ad6ec1	4b9ad407.fc2f.4463.bccc.0cf3a28d05f6	fmt-material	swab	0.44818856869631746
182	8d2746d9.68e2.42e3.acfc.092603ad6ec1	c18a0367.8148.4450.bf5a.507b6fe30c73	fmt-material	swab	0.4643393356784141
183	8d2746d9.68e2.42e3.acfc.092603ad6ec1	15129220.6eda.44ad.9511.be0f6e027f5d	fmt-material	swab	0.46110713149166527
184	8d2746d9.68e2.42e3.acfc.092603ad6ec1	183645ce.cacd.4744.8440.de4eb377dfea	fmt-material	swab	0.5238012147458466
185	8d2746d9.68e2.42e3.acfc.092603ad6ec1	37f1087f.ae31.4fde.b96b.4b6c1d61351e	fmt-material	swab	0.5020421511395528
186	8d2746d9.68e2.42e3.acfc.092603ad6ec1	a6108908.5ef9.47ef.8f57.b055bc6ee7aa	fmt-material	swab	0.5474578303589975
